"#","Reference","Qty","Value","Footprint","DNP","Mfr. No"
"1","C1, C2, C4, C6, C7, C8, C10, C11, C12, C14, C15, C16, C17, C18, C24, C25, C26, C27, C28, C29","20","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","08055C104JAT2A"
"2","C3, C5, C9, C13, C23","5","100uF","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","","UVZ1J101MPD"
"3","C19, C20, C21, C22","4","1000pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","KAF21BR72D102MT"
"4","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_4.3mm_M4","",""
"5","J1, J2, J3, J4, J5, J6, J7","7","Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","",""
"6","J8","1","Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","",""
"7","J9","1","Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","",""
"8","JP1, JP2, JP3","3","SolderJumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels","",""
"9","PS1","1","P78E03-1000","P78E03-1000:CONV_P78E03-1000","",""
"10","Q1","1","IPD060N03LGATMA1","IPD060N03LGATMA1:IPD060N03LGATMA1","",""
"11","R1, R2, R3, R4","4","0.2","Resistor_SMD:R_1020_2550Metric_Pad1.33x5.20mm_HandSolder","","ERJ-D1CFR200U"
"12","R5, R6","2","1.65k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","CRCW08051K65FKEA"
"13","R7, R8, R9, R10, R15","5","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","CRS0805-FX-1002ELF"
"14","R11","1","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RCC0805100RFKEA"
"15","R12","1","0.005","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","","MSMA2512R0050FEN"
"16","R13, R14","2","10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","RCC080510R0FKEA"
"17","RN1","1","10k","Resistor_SMD:R_Array_Convex_4x1206","","YC324-JK-0710KL"
"18","U1","1","rp2040-zero","KLEEB_mcu:rp2040-zero-tht","",""
"19","U2, U3, U4, U5","4","DRV8801PWP","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3mm_ThermalVias","",""
"20","U6, U7","2","TCA9554DB","Package_SO:SSOP-16_5.3x6.2mm_P0.65mm","","TCA9554DWR"
"21","U8","1","LTC4357MS8","Package_SO:MSOP-8_3x3mm_P0.65mm","",""
"22","U9","1","INA219BIDR","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","INA219BIDR"
